                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4138,                0.31211,                      1,                 1.3799,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.3737,                0.36822,                      1,                 1.3598,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.2939,                0.47604,                      1,                 1.2943,              0.0096024,              0.0096024,              0.0096024
                      4,                 1.1656,                0.54098,                      1,                  1.233,               0.009406,               0.009406,               0.009406
                      5,                 1.0672,                0.59836,                      1,                  1.186,               0.009208,               0.009208,               0.009208
                      6,                 1.0026,                 0.6116,                      1,                 1.1639,                0.00901,                0.00901,                0.00901
                      7,                 0.9601,                0.62169,                      1,                 1.1519,               0.008812,               0.008812,               0.008812
                      8,                0.92353,                0.62799,                      1,                 1.1476,               0.008614,               0.008614,               0.008614
                      9,                0.88655,                0.65259,                      1,                 1.1165,               0.008416,               0.008416,               0.008416
                     10,                0.85983,                0.65259,                      1,                 1.1209,               0.008218,               0.008218,               0.008218
                     11,                 0.8345,                 0.6652,                      1,                  1.114,                0.00802,                0.00802,                0.00802
                     12,                0.80262,                0.67718,                      1,                 1.0987,               0.007822,               0.007822,               0.007822
                     13,                0.79166,                0.66835,                      1,                 1.0931,               0.007624,               0.007624,               0.007624
                     14,                0.75364,                0.67276,                      1,                 1.0917,               0.007426,               0.007426,               0.007426
                     15,                 0.7401,                0.67024,                      1,                  1.081,               0.007228,               0.007228,               0.007228
                     16,                0.70983,                 0.6633,                      1,                  1.094,                0.00703,                0.00703,                0.00703
                     17,                 0.6931,                0.66015,                      1,                  1.094,               0.006832,               0.006832,               0.006832
                     18,                0.66063,                0.68474,                      1,                 1.0786,               0.006634,               0.006634,               0.006634
                     19,                0.63943,                0.67781,                      1,                 1.0775,               0.006436,               0.006436,               0.006436
                     20,                0.62036,                 0.6715,                      1,                  1.076,               0.006238,               0.006238,               0.006238
                     21,                0.58483,                0.67528,                      1,                 1.0765,                0.00604,                0.00604,                0.00604
                     22,                0.57634,                0.67654,                      1,                 1.0723,               0.005842,               0.005842,               0.005842
                     23,                 0.5369,                0.68411,                      1,                 1.0712,               0.005644,               0.005644,               0.005644
                     24,                0.52148,                0.68411,                      1,                 1.0667,               0.005446,               0.005446,               0.005446
                     25,                0.50401,                0.67465,                      1,                 1.0707,               0.005248,               0.005248,               0.005248
                     26,                0.47462,                0.66583,                      1,                 1.0734,                0.00505,                0.00505,                0.00505
                     27,                0.44671,                 0.6797,                      1,                 1.0649,               0.004852,               0.004852,               0.004852
                     28,                0.42565,                0.67087,                      1,                 1.0638,               0.004654,               0.004654,               0.004654
                     29,                0.40421,                 0.6715,                      1,                 1.0734,               0.004456,               0.004456,               0.004456
                     30,                0.39848,                0.66772,                      1,                 1.0748,               0.004258,               0.004258,               0.004258
                     31,                0.36793,                0.67591,                      1,                 1.0634,                0.00406,                0.00406,                0.00406
                     32,                0.34562,                0.68348,                      1,                 1.0617,               0.003862,               0.003862,               0.003862
                     33,                0.33476,                0.66835,                      1,                 1.0711,               0.003664,               0.003664,               0.003664
                     34,                0.31578,                0.66583,                      1,                 1.0687,               0.003466,               0.003466,               0.003466
                     35,                0.30275,                0.67087,                      1,                  1.065,               0.003268,               0.003268,               0.003268
                     36,                0.29068,                0.68159,                      1,                 1.0614,                0.00307,                0.00307,                0.00307
                     37,                0.27055,                0.68159,                      1,                 1.0636,               0.002872,               0.002872,               0.002872
                     38,                0.26007,                0.68285,                      1,                 1.0619,               0.002674,               0.002674,               0.002674
                     39,                0.24846,                0.66709,                      1,                 1.0697,               0.002476,               0.002476,               0.002476
                     40,                0.23601,                0.66898,                      1,                 1.0655,               0.002278,               0.002278,               0.002278
                     41,                0.21742,                0.67528,                      1,                 1.0665,                0.00208,                0.00208,                0.00208
                     42,                 0.2053,                0.66961,                      1,                 1.0636,               0.001882,               0.001882,               0.001882
                     43,                0.20188,                0.66835,                      1,                 1.0681,               0.001684,               0.001684,               0.001684
                     44,                0.19446,                0.66456,                      1,                 1.0729,               0.001486,               0.001486,               0.001486
                     45,                0.18397,                0.66393,                      1,                 1.0645,               0.001288,               0.001288,               0.001288
                     46,                0.17795,                0.66961,                      1,                 1.0633,                0.00109,                0.00109,                0.00109
                     47,                0.16275,                0.67024,                      1,                 1.0669,               0.000892,               0.000892,               0.000892
                     48,                0.16097,                0.66835,                      1,                  1.065,               0.000694,               0.000694,               0.000694
                     49,                0.14612,                0.67087,                      1,                 1.0681,               0.000496,               0.000496,               0.000496
                     50,                0.14543,                0.67087,                      1,                 1.0641,               0.000298,               0.000298,               0.000298
