                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3903,                0.36318,                      1,                 1.3625,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.3637,                0.44073,                      1,                 1.2984,              0.0065323,              0.0065323,              0.0065323
                      3,                 1.2457,                 0.5372,                      1,                 1.2482,              0.0096016,              0.0096016,              0.0096016
                      4,                 1.0829,                0.60214,                      1,                 1.1739,               0.009406,               0.009406,               0.009406
                      5,                0.98926,                0.62358,                      1,                 1.1652,               0.009208,               0.009208,               0.009208
                      6,                0.93007,                0.62295,                      1,                 1.1487,                0.00901,                0.00901,                0.00901
                      7,                0.88673,                0.64502,                      1,                 1.1359,               0.008812,               0.008812,               0.008812
                      8,                0.84051,                0.65574,                      1,                 1.1208,               0.008614,               0.008614,               0.008614
                      9,                0.80702,                 0.6715,                      1,                 1.1123,               0.008416,               0.008416,               0.008416
                     10,                0.77904,                 0.6425,                      1,                 1.1182,               0.008218,               0.008218,               0.008218
                     11,                0.74815,                0.66141,                      1,                 1.0956,                0.00802,                0.00802,                0.00802
                     12,                0.70996,                 0.6633,                      1,                 1.1004,               0.007822,               0.007822,               0.007822
                     13,                 0.6919,                0.67907,                      1,                  1.078,               0.007624,               0.007624,               0.007624
                     14,                0.66475,                0.65006,                      1,                 1.0981,               0.007426,               0.007426,               0.007426
                     15,                0.64539,                0.67213,                      1,                  1.073,               0.007228,               0.007228,               0.007228
                     16,                0.61058,                0.67339,                      1,                 1.0799,                0.00703,                0.00703,                0.00703
                     17,                0.58456,                0.67844,                      1,                 1.0775,               0.006832,               0.006832,               0.006832
                     18,                0.54838,                0.68537,                      1,                 1.0719,               0.006634,               0.006634,               0.006634
                     19,                 0.5321,                0.68222,                      1,                 1.0704,               0.006436,               0.006436,               0.006436
                     20,                0.51904,                0.68726,                      1,                 1.0614,               0.006238,               0.006238,               0.006238
                     21,                 0.4782,                0.68726,                      1,                  1.063,                0.00604,                0.00604,                0.00604
                     22,                0.46096,                0.68537,                      1,                 1.0684,               0.005842,               0.005842,               0.005842
                     23,                0.43582,                0.67591,                      1,                 1.0687,               0.005644,               0.005644,               0.005644
                     24,                0.41204,                 0.6715,                      1,                 1.0628,               0.005446,               0.005446,               0.005446
                     25,                0.38805,                0.68348,                      1,                 1.0603,               0.005248,               0.005248,               0.005248
                     26,                 0.3661,                0.68222,                      1,                 1.0573,                0.00505,                0.00505,                0.00505
                     27,                0.34565,                0.68411,                      1,                 1.0523,               0.004852,               0.004852,               0.004852
                     28,                0.33626,                 0.6797,                      1,                 1.0591,               0.004654,               0.004654,               0.004654
                     29,                0.32307,                0.67213,                      1,                 1.0661,               0.004456,               0.004456,               0.004456
                     30,                0.31784,                0.67907,                      1,                 1.0589,               0.004258,               0.004258,               0.004258
                     31,                0.28494,                  0.686,                      1,                 1.0523,                0.00406,                0.00406,                0.00406
                     32,                0.27474,                0.67781,                      1,                 1.0572,               0.003862,               0.003862,               0.003862
                     33,                0.26072,                 0.6715,                      1,                 1.0607,               0.003664,               0.003664,               0.003664
                     34,                0.23585,                0.67718,                      1,                  1.056,               0.003466,               0.003466,               0.003466
                     35,                0.24169,                0.66835,                      1,                 1.0586,               0.003268,               0.003268,               0.003268
                     36,                0.21634,                0.67528,                      1,                 1.0548,                0.00307,                0.00307,                0.00307
                     37,                 0.2051,                0.68348,                      1,                  1.058,               0.002872,               0.002872,               0.002872
                     38,                0.19894,                0.69168,                      1,                 1.0459,               0.002674,               0.002674,               0.002674
                     39,                0.18781,                0.68348,                      1,                 1.0554,               0.002476,               0.002476,               0.002476
                     40,                0.16972,                0.68411,                      1,                 1.0493,               0.002278,               0.002278,               0.002278
                     41,                0.16423,                0.68285,                      1,                  1.054,                0.00208,                0.00208,                0.00208
                     42,                0.15214,                0.67781,                      1,                 1.0503,               0.001882,               0.001882,               0.001882
                     43,                0.14444,                0.67844,                      1,                 1.0586,               0.001684,               0.001684,               0.001684
                     44,                0.13277,                0.68159,                      1,                 1.0538,               0.001486,               0.001486,               0.001486
                     45,                0.12216,                0.68474,                      1,                 1.0544,               0.001288,               0.001288,               0.001288
                     46,                0.12685,                0.68222,                      1,                 1.0539,                0.00109,                0.00109,                0.00109
                     47,                0.11884,                0.68411,                      1,                 1.0553,               0.000892,               0.000892,               0.000892
                     48,                0.10936,                0.68285,                      1,                  1.055,               0.000694,               0.000694,               0.000694
                     49,                0.10208,                0.68348,                      1,                  1.057,               0.000496,               0.000496,               0.000496
                     50,                0.09825,                0.68411,                      1,                 1.0503,               0.000298,               0.000298,               0.000298
