                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3729,                0.42876,                      1,                 1.3127,             0.00023782,             0.00023782,             0.00023782
                      2,                 1.2452,                0.51634,                      1,                 1.2597,             0.00042871,             0.00042871,             0.00042871
                      3,                 1.1736,                 0.5634,                      1,                 1.2148,             0.00057248,             0.00057248,             0.00057248
                      4,                 1.1235,                0.55817,                      1,                 1.2152,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0799,                 0.5817,                      1,                 1.1944,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.0534,                0.59477,                      1,                 1.1729,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.0133,                0.63007,                      1,                 1.1611,             0.00036057,             0.00036057,             0.00036057
                      8,                0.98036,                0.60784,                      1,                 1.1539,             0.00028988,             0.00028988,             0.00028988
                      9,                0.96418,                0.62092,                      1,                 1.1517,              0.0002192,              0.0002192,              0.0002192
                     10,                0.94498,                0.64444,                      1,                 1.1432,             0.00014851,             0.00014851,             0.00014851
