                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4006,                0.31848,                      1,                 1.3714,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.4262,                0.34076,                      1,                 1.3564,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.3563,                0.46835,                      1,                 1.3083,              0.0098001,              0.0098001,              0.0098001
                      4,                 1.2707,                0.49671,                      1,                 1.2633,               0.009703,               0.009703,               0.009703
                      5,                 1.2084,                0.56304,                      1,                  1.211,               0.009604,               0.009604,               0.009604
                      6,                 1.1548,                0.61316,                      1,                   1.17,               0.009505,               0.009505,               0.009505
                      7,                 1.1106,                 0.6081,                      1,                 1.1692,               0.009406,               0.009406,               0.009406
                      8,                 1.0857,                0.63291,                      1,                 1.1501,               0.009307,               0.009307,               0.009307
                      9,                 1.0502,                0.63392,                      1,                 1.1457,               0.009208,               0.009208,               0.009208
                     10,                 1.0202,                0.64608,                      1,                 1.1362,               0.009109,               0.009109,               0.009109
                     11,                  1.005,                0.66177,                      1,                 1.1271,                0.00901,                0.00901,                0.00901
                     12,                 0.9715,                0.66886,                      1,                 1.1124,               0.008911,               0.008911,               0.008911
                     13,                0.95377,                0.67089,                      1,                 1.1025,               0.008812,               0.008812,               0.008812
                     14,                0.93665,                0.68203,                      1,                 1.1071,               0.008713,               0.008713,               0.008713
                     15,                 0.9303,                0.69063,                      1,                 1.0981,               0.008614,               0.008614,               0.008614
                     16,                0.89472,                0.69823,                      1,                 1.0766,               0.008515,               0.008515,               0.008515
                     17,                0.88803,                0.70734,                      1,                 1.0765,               0.008416,               0.008416,               0.008416
                     18,                0.86588,                0.72051,                      1,                 1.0691,               0.008317,               0.008317,               0.008317
                     19,                0.84977,                0.71241,                      1,                 1.0683,               0.008218,               0.008218,               0.008218
                     20,                0.83151,                0.71797,                      1,                 1.0537,               0.008119,               0.008119,               0.008119
                     21,                0.82274,                0.72608,                      1,                 1.0442,                0.00802,                0.00802,                0.00802
                     22,                0.80489,                0.73975,                      1,                  1.038,               0.007921,               0.007921,               0.007921
                     23,                0.79239,                0.74532,                      1,                  1.033,               0.007822,               0.007822,               0.007822
                     24,                0.78185,                0.73924,                      1,                 1.0328,               0.007723,               0.007723,               0.007723
                     25,                0.76338,                0.75241,                      1,                 1.0233,               0.007624,               0.007624,               0.007624
                     26,                 0.7585,                0.76203,                      1,                 1.0207,               0.007525,               0.007525,               0.007525
                     27,                0.73259,                0.76304,                      1,                 1.0106,               0.007426,               0.007426,               0.007426
                     28,                0.72518,                0.77013,                      1,                 1.0038,               0.007327,               0.007327,               0.007327
                     29,                0.70988,                0.77165,                      1,                 1.0007,               0.007228,               0.007228,               0.007228
                     30,                0.70209,                0.78127,                      1,                0.99768,               0.007129,               0.007129,               0.007129
                     31,                0.69251,                0.78582,                      1,                0.99165,                0.00703,                0.00703,                0.00703
                     32,                0.66911,                0.78937,                      1,                0.98585,               0.006931,               0.006931,               0.006931
                     33,                0.66333,                0.79291,                      1,                0.98354,               0.006832,               0.006832,               0.006832
                     34,                0.65443,                0.79241,                      1,                0.98109,               0.006733,               0.006733,               0.006733
                     35,                0.64107,                0.79595,                      1,                0.97597,               0.006634,               0.006634,               0.006634
                     36,                0.63158,                0.79899,                      1,                0.97133,               0.006535,               0.006535,               0.006535
                     37,                0.62004,                0.80354,                      1,                0.97014,               0.006436,               0.006436,               0.006436
                     38,                0.60769,                0.80051,                      1,                 0.9657,               0.006337,               0.006337,               0.006337
                     39,                0.58794,                0.81013,                      1,                0.96388,               0.006238,               0.006238,               0.006238
                     40,                0.58345,                0.80608,                      1,                0.96087,               0.006139,               0.006139,               0.006139
