                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3906,                0.40717,                      1,                 1.3043,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.4167,                 0.4251,                      1,                 1.2923,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.3611,                0.44174,                      1,                 1.2951,              0.0096024,              0.0096024,              0.0096024
                      4,                 1.1909,                0.53905,                      1,                 1.2367,               0.009406,               0.009406,               0.009406
                      5,                 1.0914,                0.60051,                      1,                 1.1967,               0.009406,               0.009406,               0.009406
                      6,                 1.0466,                0.58131,                      1,                  1.205,               0.009208,               0.009208,               0.009208
                      7,                 1.0249,                0.59411,                      1,                 1.1888,                0.00901,                0.00901,                0.00901
                      8,                 1.0075,                0.60051,                      1,                  1.188,               0.008812,               0.008812,               0.008812
                      9,                0.98443,                  0.621,                      1,                 1.1643,               0.008614,               0.008614,               0.008614
                     10,                0.96973,                0.63124,                      1,                  1.172,               0.008416,               0.008416,               0.008416
                     11,                0.95969,                0.64405,                      1,                 1.1651,               0.008218,               0.008218,               0.008218
                     12,                0.94514,                 0.6338,                      1,                  1.165,                0.00802,                0.00802,                0.00802
                     13,                0.92535,                0.64405,                      1,                  1.163,               0.007822,               0.007822,               0.007822
                     14,                0.91906,                0.62868,                      1,                  1.166,               0.007624,               0.007624,               0.007624
                     15,                0.90244,                0.64149,                      1,                 1.1575,               0.007426,               0.007426,               0.007426
                     16,                 0.8897,                0.65301,                      1,                 1.1559,               0.007228,               0.007228,               0.007228
                     17,                0.89167,                0.65045,                      1,                 1.1541,                0.00703,                0.00703,                0.00703
                     18,                0.87212,                0.64533,                      1,                 1.1519,               0.006832,               0.006832,               0.006832
                     19,                0.86593,                0.63636,                      1,                 1.1469,               0.006634,               0.006634,               0.006634
                     20,                0.85455,                 0.6402,                      1,                 1.1458,               0.006436,               0.006436,               0.006436
                     21,                0.84832,                0.65173,                      1,                 1.1373,               0.006238,               0.006238,               0.006238
                     22,                0.84347,                0.65557,                      1,                  1.134,                0.00604,                0.00604,                0.00604
                     23,                0.83555,                 0.6402,                      1,                 1.1355,               0.005842,               0.005842,               0.005842
                     24,                0.82067,                0.65813,                      1,                 1.1271,               0.005644,               0.005644,               0.005644
                     25,                0.80821,                0.66965,                      1,                  1.123,               0.005446,               0.005446,               0.005446
                     26,                0.80535,                0.66069,                      1,                 1.1287,               0.005248,               0.005248,               0.005248
                     27,                0.80048,                0.68374,                      1,                  1.121,                0.00505,                0.00505,                0.00505
                     28,                0.79996,                0.65941,                      1,                 1.1201,               0.004852,               0.004852,               0.004852
                     29,                0.78639,                0.65941,                      1,                 1.1179,               0.004654,               0.004654,               0.004654
                     30,                0.77985,                0.65429,                      1,                 1.1266,               0.004456,               0.004456,               0.004456
                     31,                 0.7799,                0.65685,                      1,                  1.124,               0.004258,               0.004258,               0.004258
                     32,                0.75343,                 0.6402,                      1,                 1.1201,                0.00406,                0.00406,                0.00406
                     33,                0.75811,                0.66837,                      1,                 1.1163,               0.003862,               0.003862,               0.003862
                     34,                0.74788,                0.65941,                      1,                  1.115,               0.003664,               0.003664,               0.003664
                     35,                0.73308,                0.64917,                      1,                 1.1161,               0.003466,               0.003466,               0.003466
                     36,                0.73251,                0.65045,                      1,                 1.1174,               0.003268,               0.003268,               0.003268
                     37,                0.71851,                0.64661,                      1,                 1.1138,                0.00307,                0.00307,                0.00307
                     38,                0.72064,                0.65301,                      1,                 1.1123,               0.002872,               0.002872,               0.002872
                     39,                0.70053,                0.66453,                      1,                 1.1093,               0.002674,               0.002674,               0.002674
                     40,                0.68626,                0.64405,                      1,                 1.1081,               0.002476,               0.002476,               0.002476
                     41,                0.69869,                 0.6338,                      1,                 1.1104,               0.002278,               0.002278,               0.002278
                     42,                0.68025,                0.64661,                      1,                 1.1107,                0.00208,                0.00208,                0.00208
                     43,                0.66663,                0.64789,                      1,                 1.1075,               0.001882,               0.001882,               0.001882
                     44,                0.66877,                0.64405,                      1,                 1.1076,               0.001684,               0.001684,               0.001684
                     45,                0.65226,                0.64533,                      1,                  1.108,               0.001486,               0.001486,               0.001486
                     46,                0.63728,                0.64405,                      1,                 1.1072,               0.001288,               0.001288,               0.001288
                     47,                0.62769,                 0.6402,                      1,                 1.1052,                0.00109,                0.00109,                0.00109
                     48,                0.62384,                0.64149,                      1,                 1.1051,               0.000892,               0.000892,               0.000892
                     49,                0.61765,                0.63892,                      1,                 1.1041,               0.000694,               0.000694,               0.000694
                     50,                0.60934,                 0.6402,                      1,                 1.1029,               0.000496,               0.000496,               0.000496
